SampleID	Group2	Group	Description
R_201006_1	RTT	RTT_1	R_201006_1
R_201010_1	RTT	RTT_1	R_201010_1
R_211006_1	RTT	RTT_1	R_211006_1
R_211007_1	RTT	RTT_1	R_211007_1
R_211010_1	RTT	RTT_1	R_211010_1
R_221002_1	RTT	RTT_1	R_221002_1
R_221007_1	RTT	RTT_1	R_221007_1
R_221010_1	RTT	RTT_1	R_221010_1
R_221012_1	RTT	RTT_1	R_221012_1
R_201006_3	RTT	RTT_3	R_201006_3
R_201010_3	RTT	RTT_3	R_201010_3
R_211006_3	RTT	RTT_3	R_211006_3
R_211007_3	RTT	RTT_3	R_211007_3
R_211010_3	RTT	RTT_3	R_211010_3
R_221002_3	RTT	RTT_3	R_221002_3
R_221007_3	RTT	RTT_3	R_221007_3
R_221010_3	RTT	RTT_3	R_221010_3
R_221012_3	RTT	RTT_3	R_221012_3
R_201010_6_1	RTT	RTT_6	R_201010_6_1
R_201010_6_2	RTT	RTT_6	R_201010_6_2
R_211006_6	RTT	RTT_6	R_211006_6
R_211007_6	RTT	RTT_6	R_211007_6
R_211010_6	RTT	RTT_6	R_211010_6
R_221002_6	RTT	RTT_6	R_221002_6
R_221007_6	RTT	RTT_6	R_221007_6
R_221010_6	RTT	RTT_6	R_221010_6
R_221012_6	RTT	RTT_6	R_221012_6
R_201006_9	RTT	RTT_9	R_201006_9
R_201010_9	RTT	RTT_9	R_201010_9
R_211006_9	RTT	RTT_9	R_211006_9
R_211007_9	RTT	RTT_9	R_211007_9
R_211010_9	RTT	RTT_9	R_211010_9
R_221002_9	RTT	RTT_9	R_221002_9
R_221007_9	RTT	RTT_9	R_221007_9
R_221010_9	RTT	RTT_9	R_221010_9
R_221012_9	RTT	RTT_9	R_221012_9
C_201000_1	WT	WT_1	C_201000_1
C_201002_1	WT	WT_1	C_201002_1
C_201004_1	WT	WT_1	C_201004_1
C_201008_1	WT	WT_1	C_201008_1
C_211000_1	WT	WT_1	C_211000_1
C_211001_1	WT	WT_1	C_211001_1
C_211002_1	WT	WT_1	C_211002_1
C_211003_1	WT	WT_1	C_211003_1
C_211004_1	WT	WT_1	C_211004_1
C_201000_3	WT	WT_3	C_201000_3
C_201002_3	WT	WT_3	C_201002_3
C_201004_3	WT	WT_3	C_201004_3
C_201008_3	WT	WT_3	C_201008_3
C_211000_3	WT	WT_3	C_211000_3
C_211001_3	WT	WT_3	C_211001_3
C_211002_3	WT	WT_3	C_211002_3
C_211003_3	WT	WT_3	C_211003_3
C_211004_3	WT	WT_3	C_211004_3
C_201000_6	WT	WT_6	C_201000_6
C_201002_6	WT	WT_6	C_201002_6
C_201004_6	WT	WT_6	C_201004_6
C_201008_6	WT	WT_6	C_201008_6
C_211000_6	WT	WT_6	C_211000_6
C_211001_6	WT	WT_6	C_211001_6
C_211002_6	WT	WT_6	C_211002_6
C_211003_6	WT	WT_6	C_211003_6
C_211004_6	WT	WT_6	C_211004_6
C_201000_9	WT	WT_9	C_201000_9
C_201002_9	WT	WT_9	C_201002_9
C_201004_9	WT	WT_9	C_201004_9
C_201008_9	WT	WT_9	C_201008_9
C_211000_9	WT	WT_9	C_211000_9
C_211001_9	WT	WT_9	C_211001_9
C_211002_9	WT	WT_9	C_211002_9
C_211003_9	WT	WT_9	C_211003_9
C_211004_9	WT	WT_9	C_211004_9
