OTUID	C_201000_1	C_201000_3	C_201000_6	C_201000_9	C_201002_1	C_201002_3	C_201002_6	C_201002_9	C_201004_1	C_201004_3	C_201004_6	C_201004_9	C_201008_1	C_201008_3	C_201008_6	C_201008_9	C_211000_1	C_211000_3	C_211000_6	C_211000_9	C_211001_1	C_211001_3	C_211001_6	C_211001_9	C_211002_1	C_211002_3	C_211002_6	C_211002_9	C_211003_1	C_211003_3	C_211003_6	C_211003_9	C_211004_1	C_211004_3	C_211004_6	C_211004_9	R_201006_1	R_201006_3	R_201006_9	R_201010_1	R_201010_3	R_201010_6_1	R_201010_6_2	R_201010_9	R_211006_1	R_211006_3	R_211006_6	R_211006_9	R_211007_1	R_211007_3	R_211007_6	R_211007_9	R_211010_1	R_211010_3	R_211010_6	R_211010_9	R_221002_1	R_221002_3	R_221002_6	R_221002_9	R_221007_1	R_221007_3	R_221007_6	R_221007_9	R_221010_1	R_221010_3	R_221010_6	R_221010_9	R_221012_1	R_221012_3	R_221012_6	R_221012_9
ASV_2	31277	29060	175	6	3599	60273	40	20	8309	6395	31	16	8012	46308	49	64	18763	11639	104	185	156	34609	76	27	5116	4473	151	26	92	242	191	112	5887	1811	61	279	15751	40045	141	47	29857	2110	1556	1052	0	479	1101	51	650	7285	201	1377	6404	1651	797	42	1616	11491	13672	1072	12464	439	396	0	155	1935	302	917	157	446	169	73
ASV_1	0	0	6880	2940	23	0	3861	3933	0	0	7605	1481	0	0	10939	1460	2335	475	3692	10129	1142	550	3106	7098	588	4132	32850	9364	317	5207	2425	1652	723	4541	27929	9476	0	0	4622	0	0	293	8673	12147	3363	4256	1595	4518	2299	806	1614	12961	12474	2743	2040	4875	726	253	2574	3847	0	3886	3134	3005	621	2466	8438	901	266	2737	2560	4778
ASV_3	161	0	0	0	37	0	13	3	14	60	0	6	354	7	0	405	12	0	2	643	1	0	18	10	112	3	449	13	19	0	675	6	64	1	0	5	473	95	0	0	3006	630	4	5	12069	499	1	409	1279	51121	3	0	782	126	5	0	778	9	2	15	16257	579	405	0	679	468	0	0	83445	2	2	0
ASV_7	19627	64	22	0	2713	506	49	3	51663	14039	0	1	36913	631	11	10	2701	1560	8	13	2	1199	8	6	99	202	25	0	12	21	27	15	39	122	10	6	1449	9786	9	10	10463	1683	302	84	0	15	65	22	98	1589	35	85	438	3188	53	8	43	840	120	35	842	12	68	43	17	67	42	111	49	25	14	1
ASV_5	933	305	94	76	143	54	151	74	900	95	97	126	353	148	203	236	8273	1143	412	176	783	2308	242	53	4938	557	284	107	27281	397	171	87	3733	176	150	124	468	351	180	4	334	1911	750	1292	0	249	307	252	693	11426	118	1146	1654	1439	1278	170	840	1664	1185	1385	49168	292	560	639	493	746	369	851	2240	201	122	356
ASV_4	0	0	331	4	0	0	132	36	0	0	34	25	0	0	87	20	6852	23526	184	128	9	2648	129	90	15	4465	120	62	86	84	212	249	152	1335	121	199	0	0	325	3	0	14588	5345	2098	0	1337	1004	242	624	143	309	2012	8344	8484	436	126	3446	26124	5766	3013	0	84	1031	0	197	1878	887	2412	310	335	349	480
ASV_9	0	2	1374	1271	0	1	1904	1600	1	21	995	487	42	0	724	574	1224	5685	3298	7893	2669	913	882	1172	109	513	590	1035	829	230	750	613	115	1815	857	991	1	0	1468	0	0	694	2973	1209	8910	3105	249	1198	4254	328	796	1121	572	2336	591	1320	6867	694	962	1865	2	1281	2187	2988	10624	12154	1260	340	280	813	1476	596
ASV_10	0	0	3288	1669	0	0	1507	1399	0	0	1254	517	0	0	1497	1735	477	130	1308	2511	933	198	1220	2143	122	641	1121	2003	715	2556	1476	894	180	6143	795	1994	0	9	2669	3	0	206	2324	3527	3512	3875	1006	1777	2411	228	1115	4012	739	1943	1413	466	445	321	2050	2482	0	5407	3651	4136	765	4856	7207	756	170	1047	6329	4577
ASV_13	0	0	130	148	0	0	3016	2555	0	0	797	1128	0	0	111	496	341	1426	1442	297	30	6589	179	106	41	2514	2098	470	555	20036	985	137	221	1054	3643	636	0	0	672	0	0	3831	1968	5815	1	1369	261	356	476	106	758	2233	210	1284	1035	133	138	1003	5770	5154	0	56	5384	9066	40	100	4749	1490	66	268	2346	8102
ASV_8	2	0	3986	1226	494	0	7890	2333	1	1	3301	4312	0	0	139	3085	6	154	108	321	13	0	562	1931	141	0	157	4077	44	0	850	509	4	0	949	4090	0	1167	9903	4	0	89	1132	3140	1193	387	695	223	923	114	9779	4293	2373	333	215	264	138	261	644	336	109	116	4811	140	68	43	6554	21842	29	522	231	2182
ASV_6	0	0	789	461	0	20	755	360	0	0	1209	1134	0	0	3852	389	1155	9598	2780	887	6339	15292	2697	1115	151	91	994	1699	180	436	3085	2797	157	93	1063	1757	0	0	1281	0	0	387	706	2142	6	313	2825	767	1696	95	951	1966	217	181	9633	2361	314	121	1806	4607	0	8455	390	2287	203	153	733	763	149	4042	436	3259
ASV_11	0	0	2844	2161	7	0	1355	1451	0	0	437	472	0	0	2236	971	429	226	1495	2071	473	163	579	2435	109	926	713	2157	236	4874	984	956	150	5703	1491	2099	2	8	3455	4	0	211	4192	7120	222	5613	1749	3249	1513	277	897	8255	2659	1506	1705	1002	364	214	2491	2915	0	2716	2574	1905	886	1938	3684	648	155	536	4394	4723
ASV_12	0	421	1477	698	60	46	935	1748	0	8	2522	1648	0	0	3123	3677	136	194	2066	958	339	82	1429	1138	244	847	1792	1176	15264	1484	2678	2359	83	1374	757	1264	1	0	2706	0	0	3215	1993	3210	3	1765	3440	947	791	136	2820	2646	166	207	3629	1655	185	165	2211	1389	0	2481	1010	1216	153	511	1508	5975	140	1955	694	2053
ASV_16	0	0	489	422	0	0	355	662	0	0	697	372	0	0	1281	3142	79	435	816	273	31	52	425	274	1273	12	622	585	89	153	1631	5643	2097	21	387	460	0	0	3275	0	0	423	377	605	4	8468	11128	3556	1451	512	3798	774	200	219	8340	2229	236	181	3782	3763	1	2417	841	1134	120	130	524	1936	226	2132	563	757
