sample_id	group	group_age	Description	age_month	animal_id	predicted_microbiome_age	dist_to_age_matched_WT
C_201000_1	WT	WT_1	C_201000_1	1	C_201000	2.10139496961918	58.9784128908376
C_201000_3	WT	WT_3	C_201000_3	3	C_201000	3.08448233376351	61.6200832284912
C_201000_6	WT	WT_6	C_201000_6	6	C_201000	6.07202008431951	53.4730943099802
C_201000_9	WT	WT_9	C_201000_9	9	C_201000	8.145411449926	52.3786597265629
C_201002_1	WT	WT_1	C_201002_1	1	C_201002	2.4212129004993	62.6678635852985
C_201002_3	WT	WT_3	C_201002_3	3	C_201002	3.58664961584638	57.8261911181005
C_201002_6	WT	WT_6	C_201002_6	6	C_201002	5.73732449196973	57.8603146986991
C_201002_9	WT	WT_9	C_201002_9	9	C_201002	7.58463546196554	50.7030932084547
C_201004_1	WT	WT_1	C_201004_1	1	C_201004	1.89744523261836	57.7977885027519
C_201004_3	WT	WT_3	C_201004_3	3	C_201004	3.25856801533007	62.2767977798355
C_201004_6	WT	WT_6	C_201004_6	6	C_201004	6.4667179588339	50.5612543760163
C_201004_9	WT	WT_9	C_201004_9	9	C_201004	7.75418451383458	51.1370214177023
C_201008_1	WT	WT_1	C_201008_1	1	C_201008	1.64767192881483	57.0717034733256
C_201008_3	WT	WT_3	C_201008_3	3	C_201008	3.00915062521122	59.8958267884083
C_201008_6	WT	WT_6	C_201008_6	6	C_201008	6.04400183691561	56.0512675008357
C_201008_9	WT	WT_9	C_201008_9	9	C_201008	7.72491363249679	51.2655573768566
C_211000_1	WT	WT_1	C_211000_1	1	C_211000	2.05766505465552	57.7782611756321
C_211000_3	WT	WT_3	C_211000_3	3	C_211000	3.88832059909521	66.7265543581263
C_211000_6	WT	WT_6	C_211000_6	6	C_211000	5.64057350581559	55.1020490700973
C_211000_9	WT	WT_9	C_211000_9	9	C_211000	7.38884050659157	62.4183281296901
C_211001_1	WT	WT_1	C_211001_1	1	C_211001	1.51282093815177	74.9114912237308
C_211001_3	WT	WT_3	C_211001_3	3	C_211001	2.76320806837243	57.3667935350819
C_211001_6	WT	WT_6	C_211001_6	6	C_211001	6.04562943460253	52.3593895886516
C_211001_9	WT	WT_9	C_211001_9	9	C_211001	8.42870601173565	52.1036798473223
C_211002_1	WT	WT_1	C_211002_1	1	C_211002	1.81846229599113	51.8465939095968
