Phylum	C_201000_1	C_201000_3	C_201000_6	C_201000_9	C_201002_1	C_201002_3	C_201002_6	C_201002_9	C_201004_1	C_201004_3	C_201004_6	C_201004_9	C_201008_1	C_201008_3	C_201008_6	C_201008_9	C_211000_1	C_211000_3	C_211000_6	C_211000_9	C_211001_1	C_211001_3	C_211001_6	C_211001_9	C_211002_1	C_211002_3	C_211002_6	C_211002_9	C_211003_1	C_211003_3	C_211003_6	C_211003_9	C_211004_1	C_211004_3	C_211004_6	C_211004_9	R_201006_1	R_201006_3	R_201006_9	R_201010_1	R_201010_3	R_201010_6_1	R_201010_6_2	R_201010_9	R_211006_1	R_211006_3	R_211006_6	R_211006_9	R_211007_1	R_211007_3	R_211007_6	R_211007_9	R_211010_1	R_211010_3	R_211010_6	R_211010_9	R_221002_1	R_221002_3	R_221002_6	R_221002_9	R_221007_1	R_221007_3	R_221007_6	R_221007_9	R_221010_1	R_221010_3	R_221010_6	R_221010_9	R_221012_1	R_221012_3	R_221012_6	R_221012_9	All
Firmicutes	5.74	50	60.8	53.6	30.2	29.5	67.8	60.7	7.12	39.4	60.6	78	19.6	27.7	52.1	62.6	41.6	40.1	50.3	33.8	41.8	48.9	61.8	54.6	41.5	34.5	40.4	54.9	48.6	46.1	61.1	55	50	25.8	34	56.9	9.79	17.6	53.3	93.6	14.3	59	46.6	47.7	34.9	31.2	48.4	47.6	31.9	26.6	60.8	44.5	41	50.3	43.3	60.8	25.5	50.4	45.8	51.5	33.8	36.1	45.2	52.9	18.2	26.7	48.8	72.2	19.7	50	36.8	45.6	55.3
Bacteroidetes	0.24	0.04	36.3	41	2.95	0.03	28.4	37.1	0.01	0.18	35.8	19.1	0.44	0.02	41.1	33.9	17	29.1	43.7	60.2	48.7	16.5	33.4	40.7	21.5	55.3	58	42.5	19.2	48.6	33.7	40.3	19.6	69.2	65.1	41.2	0.55	0.18	44.2	0	4.18	20.2	42.8	40.1	58.8	65	47	45.4	61.9	49.3	36.4	38.3	30.6	35.3	49	34	63	13.7	34.6	42.7	12.2	54.3	45.6	44.1	62.8	68.2	47.8	17.2	71.5	35.5	57.8	47.1	25.4
Actinobacteria	92.2	49.5	0.86	0.31	11.7	70.3	0.56	0.32	91.2	55.8	0.49	0.47	78.5	61.4	0.93	0.61	33.2	29.7	1.05	0.72	1.29	33.8	1.4	0.29	9.56	9.75	0.96	0.39	25.3	1.14	0.71	0.69	9.3	2.97	0.46	0.72	88.8	79.3	0.79	0.09	68.5	17	6.73	4.5	0.41	1.8	2.58	0.8	2.29	21.9	0.92	4.44	20.4	13.2	4.18	1.1	5.41	35.6	18.4	4.88	53.6	0.69	2.62	0.79	0.77	4.15	2.05	8.88	2.49	1.47	0.78	1.32	7.1
Proteobacteria	0.22	0.07	0.42	3.9	53.5	0.01	0.64	0.99	0.02	0.09	0.61	0.64	1.25	0.04	0.33	1.44	7.97	0.36	0.43	2.08	7.19	0.54	0.15	0.79	27.1	0.31	0.21	0.76	6.53	2.34	1.34	0.91	20.9	1.89	0.14	0.25	0.81	0.04	0.68	6.09	4.1	0.26	0.51	0.15	4.34	1.32	1.34	0.97	2.53	0.51	0.47	0.15	1.86	0.34	2.38	1	4.74	0.13	0.5	0.39	0.27	5.48	5.86	2.11	18	0.46	0.96	0.3	6.09	0.3	0.81	0.39	6.4
Unassigned	0.18	0.24	0.15	0.18	0.5	0.09	0.23	0.1	1.62	0.15	0.37	0.34	0.14	0.5	1.2	0.31	0.06	0.06	0.34	0.26	0.45	0.06	0.52	0.41	0.06	0.04	0.29	0.33	0.12	0.13	1.11	0.82	0.03	0	0.06	0.31	0.08	2.9	0.16	0.22	0.57	0.06	0.04	0.04	0	0.07	0.17	0.36	0.15	0	0.14	0.1	0.02	0.01	0.24	0.71	0.08	0.01	0.24	0.08	0	0.42	0.02	0	0.04	0	0.14	0.24	0.01	0.55	0.07	0.06	2.5
Spirochaetes	0	0	1.19	0.7	0	0	1.62	0.54	0	0	1.36	1.21	0	0	2.4	0.8	0.04	0.43	3.96	2.19	0.09	0.09	2.52	2.99	0.05	0.01	0.11	0.7	0.12	1.02	1.44	1.07	0.05	0.01	0.19	0.4	0	0	0.4	0	0	0.67	1.07	0.13	0	0.48	0.31	4.61	0.46	0.04	1.11	0.64	0.13	0.1	0.41	1.84	0.08	0.08	0.14	0.21	0	2.71	0.56	0.09	0.07	0.32	0.08	1.02	0.17	10.1	3.6	5.17	1.6
Campilobacterota	0	0	0.08	0.23	0.19	0	0.41	0.08	0	0	0.36	0	0	0	0.26	0.19	0	0.23	0.08	0.27	0.3	0.02	0.07	0.07	0.04	0.03	0.03	0.11	0.03	0.6	0.21	0.06	0	0.03	0.05	0.14	0	0	0.39	0	0	2.77	2.29	7.37	1.47	0.17	0.09	0.15	0.22	1.7	0.08	11.8	5.67	0.84	0.13	0.15	1.17	0.04	0.19	0.25	0.12	0.25	0.16	0	0.1	0.22	0.17	0.11	0.04	0.71	0.12	0.37	0.6
Verrucomicrobia	1.46	0.07	0	0	0.12	0	0	0.01	0.01	4.4	0.03	0	0.1	10.4	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	8.34	0	0	0	0	0	0	0	0.23	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.2
Tenericutes	0	0	0.01	0.01	0	0	0.03	0	0	0	0.04	0.02	0	0	0	0.03	0	0	0	0	0.05	0	0.01	0	0	0	0	0.02	0	0	0.15	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0.03	0.01	0.05	0	0	0	0	0.01	0	0.02	0	0	0.01	0	0.01	0	0	0.02	0.06	0	0	0	0	0	0.07	0	0	0.2
Fibrobacteres	0	0	0.13	0.03	0	0	0.13	0.09	0	0	0.12	0.01	0	0	1.52	0.03	0.03	0.01	0.09	0.06	0	0.02	0.11	0.14	0	0.01	0	0.05	0	0	0.15	0.77	0.01	0	0	0.04	0	0	0	0	0	0	0.01	0	0	0	0.06	0.05	0.08	0	0.11	0.02	0	0	0.29	0.07	0.02	0	0	0	0	0.05	0.01	0	0.01	0	0	0	0	0.3	0	0	0.2
Elusimicrobia	0	0	0	0.02	0	0	0.02	0.01	0	0	0.02	0	0	0	0.12	0	0	0	0	0.31	0	0.01	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2
Euryarchaeota	0	0	0	0.01	0	0	0.06	0.05	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0.37	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.21	0.01	0	0.2
