sample_id	animal_id	actual_age	predicted_age
C_201000_1	C_201000	1	2.32538619662495
C_201000_3	C_201000	3	2.66641297594348
C_201000_6	C_201000	6	5.25456425608301
C_201000_9	C_201000	9	7.4627944763929
C_201002_1	C_201002	1	2.12299579524963
C_201002_3	C_201002	3	3.82273360905758
C_201002_6	C_201002	6	5.78550795689729
C_201002_9	C_201002	9	7.46620490188663
C_201004_1	C_201004	1	1.66522939768507
C_201004_3	C_201004	3	3.12333186666149
C_201004_6	C_201004	6	6.77646563252832
C_201004_9	C_201004	9	7.53006382057048
C_201008_1	C_201008	1	1.41795466981148
C_201008_3	C_201008	3	2.90829312700894
C_201008_6	C_201008	6	6.33191335056491
C_201008_9	C_201008	9	7.52513678879895
C_211000_1	C_211000	1	2.17208277985062
C_211000_3	C_211000	3	4.3803740421676
C_211000_6	C_211000	6	5.48791248808147
C_211000_9	C_211000	9	6.51002250075671
C_211001_1	C_211001	1	0.83701671005052
C_211001_3	C_211001	3	2.35139981229432
C_211001_6	C_211001	6	6.65310444185024
C_211001_9	C_211001	9	9.23621076613292
C_211002_1	C_211002	1	1.89677360348094
C_211002_3	C_211002	3	2.81884403929126
C_211002_6	C_211002	6	6.70573018722505
C_211002_9	C_211002	9	8.05085455893566
C_211003_1	C_211003	1	1.27313026725274
C_211003_3	C_211003	3	3.4494591953915
C_211003_6	C_211003	6	6.1514955043095
C_211003_9	C_211003	9	7.21960305529181
C_211004_1	C_211004	1	2.26591907688464
C_211004_3	C_211004	3	3.16731689538589
C_211004_6	C_211004	6	5.15690186064354
C_211004_9	C_211004	9	7.96787158903966
