Cpd_id	Cpd_name	Pathway_id	Pathway_name
C00022	Pyruvate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00024	Acetyl-CoA	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00031	D-Glucose	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00033	Acetate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00036	Oxaloacetate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00068	Thiamin diphosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00074	Phosphoenolpyruvate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00084	Acetaldehyde	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00085	D-Fructose 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00103	D-Glucose 1-phosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00111	Glycerone phosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00118	D-Glyceraldehyde 3-phosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00186	(S)-Lactate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00197	3-Phospho-D-glycerate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00221	beta-D-Glucose	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00236	3-Phospho-D-glyceroyl phosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00267	alpha-D-Glucose	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00354	D-Fructose 1,6-bisphosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00469	Ethanol	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00631	2-Phospho-D-glycerate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00668	alpha-D-Glucose 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C01159	2,3-Bisphospho-D-glycerate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C01172	beta-D-Glucose 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C01451	Salicin	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C06186	Arbutin	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C06187	Arbutin 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C06188	Salicin 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C15972	Enzyme N6-(lipoyl)lysine	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C15973	Enzyme N6-(dihydrolipoyl)lysine	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C16255	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
C00022	Pyruvate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00024	Acetyl-CoA	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00026	2-Oxoglutarate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00036	Oxaloacetate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00042	Succinate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00068	Thiamin diphosphate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00074	Phosphoenolpyruvate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00091	Succinyl-CoA	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00122	Fumarate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00149	(S)-Malate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00158	Citrate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00311	Isocitrate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00417	cis-Aconitate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C05379	Oxalosuccinate	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C05381	3-Carboxy-1-hydroxypropyl-ThPP	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C15972	Enzyme N6-(lipoyl)lysine	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C15973	Enzyme N6-(dihydrolipoyl)lysine	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C16254	[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C16255	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
C00022	Pyruvate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00031	D-Glucose	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00085	D-Fructose 6-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00117	D-Ribose 5-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00118	D-Glyceraldehyde 3-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00119	5-Phospho-alpha-D-ribose 1-diphosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00121	D-Ribose	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00197	3-Phospho-D-glycerate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00198	D-Glucono-1,5-lactone	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00199	D-Ribulose 5-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00204	2-Dehydro-3-deoxy-D-gluconate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00221	beta-D-Glucose	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00231	D-Xylulose 5-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00257	D-Gluconic acid	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00258	D-Glycerate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00279	D-Erythrose 4-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00345	6-Phospho-D-gluconate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00354	D-Fructose 1,6-bisphosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00577	D-Glyceraldehyde	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00620	alpha-D-Ribose 1-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00631	2-Phospho-D-glycerate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00668	alpha-D-Glucose 6-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00672	2-Deoxy-D-ribose 1-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00673	2-Deoxy-D-ribose 5-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C01151	D-Ribose 1,5-bisphosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C01172	beta-D-Glucose 6-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C01182	D-Ribulose 1,5-bisphosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C01218	6-Phospho-2-dehydro-D-gluconate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C01236	D-Glucono-1,5-lactone 6-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C01801	Deoxyribose	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C02076	Sedoheptulose	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C03752	2-Amino-2-deoxy-D-gluconate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C05382	Sedoheptulose 7-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C06019	D-arabino-Hex-3-ulose 6-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C06473	2-Keto-D-gluconic acid	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C20589	D-Glucosaminate-6-phosphate	hsa00030	Pentose phosphate pathway - Homo sapiens (human)
C00022	Pyruvate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00026	2-Oxoglutarate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00029	UDP-glucose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00103	D-Glucose 1-phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00111	Glycerone phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00116	Glycerol	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00167	UDP-glucuronate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00181	D-Xylose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00191	D-Glucuronate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00199	D-Ribulose 5-phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00204	2-Dehydro-3-deoxy-D-gluconate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00216	D-Arabinose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00231	D-Xylulose 5-phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00259	L-Arabinose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00266	Glycolaldehyde	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00309	D-Ribulose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00310	D-Xylulose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00312	L-Xylulose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00333	D-Galacturonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00379	Xylitol	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00433	2,5-Dioxopentanoate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00470	Pectate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00474	Ribitol	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00476	D-Lyxose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00502	D-Xylonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00508	L-Ribulose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00514	D-Mannonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00532	L-Arabitol	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00558	D-Tagaturonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00618	3-Dehydro-L-gulonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00714	Pectin	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00789	CDP-ribitol	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00800	L-Gulonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00817	D-Altronate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C00905	D-Fructuronate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C01068	D-Ribitol 5-phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C01101	L-Ribulose 5-phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C01508	L-Lyxose	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C01904	D-Arabitol	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C02266	D-Xylonolactone	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C02273	Digalacturonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C02426	L-Glyceraldehyde	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C02753	D-Xylono-1,4-lactone	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C03033	beta-D-Glucuronoside	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C03291	L-Xylulose 5-phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C03826	2-Dehydro-3-deoxy-D-xylonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C04053	5-Dehydro-4-deoxy-D-glucuronate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C04575	(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C05385	D-Glucuronate 1-phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C05411	L-Xylonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C05412	L-Lyxonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C06118	4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C06441	L-Xylulose 1-phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
C14899	3-Dehydro-L-gulonate 6-phosphate	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)
