"gene_id","module_name","module_color"
"ASV_2","module_2","blue"
"ASV_1","module_3","brown"
"ASV_3","module_8","pink"
"ASV_7","module_2","blue"
"ASV_5","module_2","blue"
"ASV_4","module_3","brown"
"ASV_9","module_3","brown"
"ASV_10","module_3","brown"
"ASV_13","module_3","brown"
"ASV_8","module_1","turquoise"
"ASV_11","module_3","brown"
"ASV_14","module_0","grey"
"ASV_18","module_5","green"
"ASV_15","module_3","brown"
"ASV_22","module_3","brown"
"ASV_20","module_2","blue"
"ASV_19","module_3","brown"
"ASV_17","module_1","turquoise"
"ASV_24","module_3","brown"
"ASV_33","module_5","green"
"ASV_21","module_3","brown"
"ASV_23","module_3","brown"
"ASV_25","module_3","brown"
"ASV_29","module_3","brown"
"ASV_28","module_0","grey"
"ASV_41","module_2","blue"
"ASV_27","module_3","brown"
"ASV_31","module_3","brown"
"ASV_34","module_1","turquoise"
"ASV_45","module_1","turquoise"
"ASV_54","module_2","blue"
"ASV_38","module_3","brown"
"ASV_32","module_3","brown"
"ASV_44","module_3","brown"
"ASV_40","module_3","brown"
"ASV_52","module_2","blue"
"ASV_36","module_3","brown"
"ASV_59","module_3","brown"
"ASV_46","module_3","brown"
"ASV_39","module_1","turquoise"
"ASV_56","module_3","brown"
"ASV_43","module_3","brown"
"ASV_48","module_3","brown"
"ASV_42","module_3","brown"
"ASV_67","module_0","grey"
"ASV_68","module_9","magenta"
"ASV_51","module_3","brown"
"ASV_50","module_6","red"
"ASV_62","module_1","turquoise"
"ASV_57","module_1","turquoise"
"ASV_60","module_1","turquoise"
"ASV_78","module_3","brown"
"ASV_53","module_3","brown"
"ASV_64","module_3","brown"
"ASV_70","module_1","turquoise"
"ASV_65","module_1","turquoise"
"ASV_80","module_3","brown"
"ASV_74","module_0","grey"
"ASV_73","module_3","brown"
"ASV_71","module_1","turquoise"
"ASV_63","module_3","brown"
"ASV_72","module_2","blue"
"ASV_61","module_1","turquoise"
"ASV_55","module_0","grey"
"ASV_112","module_2","blue"
"ASV_58","module_3","brown"
"ASV_86","module_4","yellow"
"ASV_2247","module_4","yellow"
"ASV_103","module_5","green"
"ASV_82","module_0","grey"
"ASV_75","module_1","turquoise"
"ASV_104","module_3","brown"
"ASV_66","module_3","brown"
"ASV_77","module_1","turquoise"
"ASV_84","module_1","turquoise"
"ASV_85","module_3","brown"
"ASV_83","module_3","brown"
"ASV_115","module_3","brown"
"ASV_97","module_3","brown"
"ASV_89","module_3","brown"
"ASV_101","module_1","turquoise"
"ASV_99","module_3","brown"
"ASV_123","module_0","grey"
"ASV_148","module_5","green"
"ASV_95","module_1","turquoise"
"ASV_91","module_3","brown"
"ASV_96","module_3","brown"
"ASV_106","module_3","brown"
"ASV_93","module_3","brown"
"ASV_209","module_0","grey"
"ASV_88","module_3","brown"
"ASV_94","module_1","turquoise"
"ASV_124","module_6","red"
"ASV_117","module_1","turquoise"
"ASV_213","module_5","green"
"ASV_158","module_2","blue"
"ASV_120","module_0","grey"
"ASV_98","module_5","green"
"ASV_118","module_1","turquoise"
"ASV_1841","module_2","blue"
"ASV_110","module_3","brown"
"ASV_128","module_3","brown"
"ASV_138","module_9","magenta"
"ASV_131","module_3","brown"
"ASV_205","module_3","brown"
"ASV_502","module_2","blue"
"ASV_126","module_3","brown"
"ASV_141","module_1","turquoise"
"ASV_122","module_3","brown"
"ASV_152","module_9","magenta"
"ASV_132","module_3","brown"
"ASV_143","module_1","turquoise"
"ASV_134","module_3","brown"
"ASV_136","module_1","turquoise"
"ASV_137","module_3","brown"
"ASV_142","module_3","brown"
"ASV_130","module_1","turquoise"
"ASV_140","module_1","turquoise"
"ASV_195","module_2","blue"
"ASV_139","module_3","brown"
"ASV_147","module_1","turquoise"
"ASV_145","module_9","magenta"
"ASV_155","module_1","turquoise"
"ASV_146","module_6","red"
"ASV_151","module_3","brown"
"ASV_207","module_3","brown"
"ASV_156","module_3","brown"
"ASV_157","module_3","brown"
"ASV_154","module_1","turquoise"
"ASV_217","module_9","magenta"
"ASV_153","module_6","red"
"ASV_150","module_2","blue"
"ASV_252","module_1","turquoise"
"ASV_179","module_1","turquoise"
"ASV_170","module_1","turquoise"
"ASV_176","module_3","brown"
"ASV_162","module_1","turquoise"
"ASV_181","module_3","brown"
"ASV_174","module_3","brown"
"ASV_164","module_1","turquoise"
"ASV_196","module_1","turquoise"
"ASV_188","module_3","brown"
"ASV_171","module_0","grey"
"ASV_220","module_3","brown"
"ASV_2155","module_4","yellow"
"ASV_165","module_0","grey"
"ASV_221","module_0","grey"
